CASCADE_ID,HRU_UP_ID,CASCADE_TYPE_UP,UP_ROW,UP_COL,UP_X,UP_Y,HRU_DOWN_ID,CASCADE_TYPE_DOWN,DOWN_ROW,DOWN_COL,DOWN_X,DOWN_Y,CASC_PCT,HRU_STRM_SEG_DOWN,HRU_RCH_DOWN
      1711,      3410,1,        44,        13,   215487.7968750000,  4369274.0000000000,      3331,1,        43,        13,   215487.7968750000,  4369364.0000000000,0.333333343267,         0,         0
      1712,      3410,1,        44,        13,   215487.7968750000,  4369274.0000000000,      3489,1,        45,        13,   215487.7968750000,  4369184.0000000000,0.333333343267,         0,         0
      1713,      3410,1,        44,        13,   215487.7968750000,  4369274.0000000000,      3411,1,        44,        14,   215577.7968750000,  4369274.0000000000,0.333333343267,         0,         0
      1714,      3411,1,        44,        14,   215577.7968750000,  4369274.0000000000,      3332,1,        43,        14,   215577.7968750000,  4369364.0000000000,0.333333343267,         0,         0
      1715,      3411,1,        44,        14,   215577.7968750000,  4369274.0000000000,      3490,1,        45,        14,   215577.7968750000,  4369184.0000000000,0.333333343267,         0,         0
      1716,      3411,1,        44,        14,   215577.7968750000,  4369274.0000000000,      3412,1,        44,        15,   215667.7968750000,  4369274.0000000000,0.333333343267,         0,         0
      1717,      3436,1,        44,        39,   217827.7968750000,  4369274.0000000000,      3357,1,        43,        39,   217827.7968750000,  4369364.0000000000,0.333333343267,         0,         0
      1718,      3436,1,        44,        39,   217827.7968750000,  4369274.0000000000,      3435,1,        44,        38,   217737.7968750000,  4369274.0000000000,0.333333343267,         0,         0
      1719,      3436,1,        44,        39,   217827.7968750000,  4369274.0000000000,      3437,1,        44,        40,   217917.7968750000,  4369274.0000000000,0.333333343267,         0,         0
      1720,      3437,1,        44,        40,   217917.7968750000,  4369274.0000000000,      3358,1,        43,        40,   217917.7968750000,  4369364.0000000000,0.500000000000,         0,         0
      1721,      3437,1,        44,        40,   217917.7968750000,  4369274.0000000000,      3438,1,        44,        41,   218007.7968750000,  4369274.0000000000,0.500000000000,         0,         0
      1722,      3438,1,        44,        41,   218007.7968750000,  4369274.0000000000,      3359,1,        43,        41,   218007.7968750000,  4369364.0000000000,1.000000000000,         0,         0
      1723,      3464,1,        44,        67,   220347.7968750000,  4369274.0000000000,      3465,2,        44,        68,   220437.7968750000,  4369274.0000000000,1.000000000000,         0,         0
      1724,      3514,1,        45,        38,   217737.7968750000,  4369184.0000000000,      3435,1,        44,        38,   217737.7968750000,  4369274.0000000000,0.500000000000,         0,         0
      1725,      3514,1,        45,        38,   217737.7968750000,  4369184.0000000000,      3513,1,        45,        37,   217647.7968750000,  4369184.0000000000,0.500000000000,         0,         0
      1726,      3717,1,        48,         4,   214677.7968750000,  4368914.0000000000,      3638,1,        47,         4,   214677.7968750000,  4369004.0000000000,0.500000000000,         0,         0
      1727,      3717,1,        48,         4,   214677.7968750000,  4368914.0000000000,      3718,1,        48,         5,   214767.7968750000,  4368914.0000000000,0.500000000000,         0,         0
      1728,      3718,1,        48,         5,   214767.7968750000,  4368914.0000000000,      3639,1,        47,         5,   214767.7968750000,  4369004.0000000000,0.500000000000,         0,         0
      1729,      3718,1,        48,         5,   214767.7968750000,  4368914.0000000000,      3719,1,        48,         6,   214857.7968750000,  4368914.0000000000,0.500000000000,         0,         0
      1730,      3765,1,        48,        52,   218997.7968750000,  4368914.0000000000,      3686,1,        47,        52,   218997.7968750000,  4369004.0000000000,0.333333343267,         0,         0
